sorting;case_id;activity;resource;TimeStart;TimeEnd;Cost
3182;198;S18: CleaningRepairing;ARS;13/02/1968 01:00;16/02/1968 01:00;3 000,00 €
3183;198;S17: RecoveringNetworks;AGGLOPOLYS;16/02/1968 01:30;16/02/1968 07:30;1 000,00 €
3184;198;S19 : AdminsitrativeSupport;Mayor;16/02/1968 08:00;19/02/1968 02:40;1 200,00 €
3185;199;S2: Notify mayors;Prefect;19/02/1968 03:10;19/02/1968 04:10;10,00 €
3186;199;S1: Second Roll Call;Prefect;19/02/1968 04:40;19/02/1968 05:10;10,00 €
3187;199;S3: Alert population;Mayor;19/02/1968 05:40;19/02/1968 08:40;50,00 €
3188;199;S5: Stop Traffic;DDT 41;19/02/1968 09:10;19/02/1968 15:10;6 000,00 €
3189;199;S6: Detour setting;DDT 41;19/02/1968 15:40;19/02/1968 18:40;4 000,00 €
3190;199;S7: Put population in a safe place;SDIS 41;19/02/1968 19:10;20/02/1968 19:10;10 000,00 €
3191;199;S4: White Plan;Prefect;20/02/1968 19:40;22/02/1968 19:40;2 000,00 €
3192;199;S8: Accomadation Plan ;Prefect;22/02/1968 20:10;24/02/1968 22:10;2 500,00 €
3193;199;S12: Food Resupplying;Mayor;24/02/1968 22:40;27/02/1968 22:40;5 000,00 €
3194;199;S13: Psychological care;CUMP Blois;27/02/1968 23:10;02/03/1968 23:10;4 500,00 €
3195;199;S15: ManagingPollution;DREAL;02/03/1968 23:40;05/03/1968 23:40;5 000,00 €
3196;199;S14: SecureBuilding;Ville Blois;06/03/1968 00:10;07/03/1968 00:10;3 000,00 €
3197;199;S16: MonitoringHealth;ARS;07/03/1968 00:40;07/03/1968 08:40;10 000,00 €
3198;199;S17: RecoveringNetworks;AGGLOPOLYS;07/03/1968 09:10;07/03/1968 15:10;1 000,00 €
3199;199;S18: CleaningRepairing;ARS;07/03/1968 15:40;10/03/1968 15:40;3 000,00 €
3200;199;S19 : AdminsitrativeSupport;Mayor;10/03/1968 16:10;13/03/1968 10:50;1 200,00 €
3201;200;S2: Notify mayors;Prefect;13/03/1968 11:20;13/03/1968 12:20;10,00 €
3202;200;S1: Second Roll Call;Prefect;13/03/1968 12:50;13/03/1968 13:20;10,00 €
3203;200;S3: Alert population;Mayor;13/03/1968 13:50;13/03/1968 16:50;50,00 €
3204;200;S5: Stop Traffic;DDT 41;13/03/1968 17:20;13/03/1968 23:20;6 000,00 €
3205;200;S6: Detour setting;DDT 41;13/03/1968 23:50;14/03/1968 02:50;4 000,00 €
3206;200;S7: Put population in a safe place;SDIS 41;14/03/1968 03:20;15/03/1968 03:20;10 000,00 €
3207;200;S8: Accomadation Plan ;Prefect;15/03/1968 03:50;17/03/1968 05:50;2 500,00 €
3208;200;S10: ad-Hoc taking care;ONG;17/03/1968 06:20;22/03/1968 06:20;2 500,00 €
3209;200;S12: Food Resupplying;Mayor;22/03/1968 06:50;25/03/1968 06:50;5 000,00 €
3210;200;S13: Psychological care;CUMP Blois;25/03/1968 07:20;29/03/1968 07:20;4 500,00 €
3211;200;S15: ManagingPollution;DREAL;29/03/1968 07:50;01/04/1968 07:50;5 000,00 €
3212;200;S14: SecureBuilding;Ville Blois;01/04/1968 08:20;02/04/1968 08:20;3 000,00 €
3213;200;S16: MonitoringHealth;ARS;02/04/1968 08:50;02/04/1968 16:50;10 000,00 €
3214;200;S18: CleaningRepairing;ARS;02/04/1968 17:20;05/04/1968 17:20;3 000,00 €
3215;200;S17: RecoveringNetworks;AGGLOPOLYS;05/04/1968 17:50;05/04/1968 23:50;1 000,00 €
3216;200;S19 : AdminsitrativeSupport;Mayor;06/04/1968 00:20;08/04/1968 19:00;1 200,00 €
3217;201;S2: Notify mayors;Prefect;08/04/1968 19:30;08/04/1968 20:30;10,00 €
3218;201;S1: Second Roll Call;Prefect;08/04/1968 21:00;08/04/1968 21:30;10,00 €
3219;201;S3: Alert population;Mayor;08/04/1968 22:00;09/04/1968 01:00;50,00 €
3220;201;S5: Stop Traffic;DDT 41;09/04/1968 01:30;09/04/1968 07:30;6 000,00 €
3221;201;S6: Detour setting;DDT 41;09/04/1968 08:00;09/04/1968 11:00;4 000,00 €
3222;201;S7: Put population in a safe place;SDIS 41;09/04/1968 11:30;10/04/1968 11:30;10 000,00 €
3223;201;S9: Ad-Hoc Accomodation;Mayor;10/04/1968 12:00;10/04/1968 16:00;3 000,00 €
3224;201;S4: White Plan;Prefect;10/04/1968 16:30;12/04/1968 16:30;2 000,00 €
3225;201;S12: Food Resupplying;Mayor;12/04/1968 17:00;15/04/1968 17:00;5 000,00 €
3226;201;S13: Psychological care;CUMP Blois;15/04/1968 17:30;19/04/1968 17:30;4 500,00 €
3227;201;S14: SecureBuilding;Ville Blois;19/04/1968 18:00;20/04/1968 18:00;3 000,00 €
3228;201;S15: ManagingPollution;DREAL;20/04/1968 18:30;23/04/1968 18:30;5 000,00 €
3229;201;S16: MonitoringHealth;ARS;23/04/1968 19:00;24/04/1968 03:00;10 000,00 €
3230;201;S17: RecoveringNetworks;AGGLOPOLYS;24/04/1968 03:30;24/04/1968 09:30;1 000,00 €
3231;201;S18: CleaningRepairing;ARS;24/04/1968 10:00;27/04/1968 10:00;3 000,00 €
3232;201;S19 : AdminsitrativeSupport;Mayor;27/04/1968 10:30;30/04/1968 05:10;1 200,00 €
3233;202;S2: Notify mayors;Prefect;30/04/1968 05:40;30/04/1968 06:40;10,00 €
3234;202;S1: Second Roll Call;Prefect;30/04/1968 07:10;30/04/1968 07:40;10,00 €
3235;202;S3: Alert population;Mayor;30/04/1968 08:10;30/04/1968 11:10;50,00 €
3236;202;S5: Stop Traffic;DDT 41;30/04/1968 11:40;30/04/1968 17:40;6 000,00 €
3237;202;S6: Detour setting;DDT 41;30/04/1968 18:10;30/04/1968 21:10;4 000,00 €
3238;202;S7: Put population in a safe place;SDIS 41;30/04/1968 21:40;01/05/1968 21:40;10 000,00 €
3239;202;S4: White Plan;Prefect;01/05/1968 22:10;03/05/1968 22:10;2 000,00 €
3240;202;S8: Accomadation Plan ;Prefect;03/05/1968 22:40;06/05/1968 00:40;2 500,00 €
3241;202;S12: Food Resupplying;Mayor;06/05/1968 01:10;09/05/1968 01:10;5 000,00 €
3242;202;S13: Psychological care;CUMP Blois;09/05/1968 01:40;13/05/1968 01:40;4 500,00 €
3243;202;S15: ManagingPollution;DREAL;13/05/1968 02:10;16/05/1968 02:10;5 000,00 €
3244;202;S14: SecureBuilding;Ville Blois;16/05/1968 02:40;17/05/1968 02:40;3 000,00 €
3245;202;S16: MonitoringHealth;ARS;17/05/1968 03:10;17/05/1968 11:10;10 000,00 €
3246;202;S17: RecoveringNetworks;AGGLOPOLYS;17/05/1968 11:40;17/05/1968 17:40;1 000,00 €
3247;202;S18: CleaningRepairing;ARS;17/05/1968 18:10;20/05/1968 18:10;3 000,00 €
3248;202;S19 : AdminsitrativeSupport;Mayor;20/05/1968 18:40;23/05/1968 13:20;1 200,00 €
3249;203;S2: Notify mayors;Prefect;23/05/1968 13:50;23/05/1968 14:50;10,00 €
3250;203;S3: Alert population;Mayor;23/05/1968 15:20;23/05/1968 18:20;50,00 €
3251;203;S1: Second Roll Call;Prefect;23/05/1968 18:50;23/05/1968 19:20;10,00 €
3252;203;S5: Stop Traffic;DDT 41;23/05/1968 19:50;24/05/1968 01:50;6 000,00 €
3253;203;S6: Detour setting;DDT 41;24/05/1968 02:20;24/05/1968 05:20;4 000,00 €
3254;203;S7: Put population in a safe place;SDIS 41;24/05/1968 05:50;25/05/1968 05:50;10 000,00 €
3255;203;S4: White Plan;Prefect;25/05/1968 06:20;27/05/1968 06:20;2 000,00 €
3256;203;S8: Accomadation Plan ;Prefect;27/05/1968 06:50;29/05/1968 08:50;2 500,00 €
3257;203;S12: Food Resupplying;Mayor;29/05/1968 09:20;01/06/1968 09:20;5 000,00 €
3258;203;S13: Psychological care;CUMP Blois;01/06/1968 09:50;05/06/1968 09:50;4 500,00 €
3259;203;S15: ManagingPollution;DREAL;05/06/1968 10:20;08/06/1968 10:20;5 000,00 €
3260;203;S14: SecureBuilding;Ville Blois;08/06/1968 10:50;09/06/1968 10:50;3 000,00 €
3261;203;S16: MonitoringHealth;ARS;09/06/1968 11:20;09/06/1968 19:20;10 000,00 €
3262;203;S18: CleaningRepairing;ARS;09/06/1968 19:50;12/06/1968 19:50;3 000,00 €
3263;203;S17: RecoveringNetworks;AGGLOPOLYS;12/06/1968 20:20;13/06/1968 02:20;1 000,00 €
3264;203;S19 : AdminsitrativeSupport;Mayor;13/06/1968 02:50;15/06/1968 21:30;1 200,00 €
3265;204;S2: Notify mayors;Prefect;15/06/1968 22:00;15/06/1968 23:00;10,00 €
3266;204;S3: Alert population;Mayor;15/06/1968 23:30;16/06/1968 02:30;50,00 €
3267;204;S1: Second Roll Call;Prefect;16/06/1968 03:00;16/06/1968 03:30;10,00 €
3268;204;S5: Stop Traffic;DDT 41;16/06/1968 04:00;16/06/1968 10:00;6 000,00 €
3269;204;S6: Detour setting;DDT 41;16/06/1968 10:30;16/06/1968 13:30;4 000,00 €
3270;204;S7: Put population in a safe place;SDIS 41;16/06/1968 14:00;17/06/1968 14:00;10 000,00 €
3271;204;S10: ad-Hoc taking care;ONG;17/06/1968 14:30;22/06/1968 14:30;2 500,00 €
3272;204;S8: Accomadation Plan ;Prefect;22/06/1968 15:00;24/06/1968 17:00;2 500,00 €
3273;204;S12: Food Resupplying;Mayor;24/06/1968 17:30;27/06/1968 17:30;5 000,00 €
3274;204;S13: Psychological care;CUMP Blois;27/06/1968 18:00;01/07/1968 18:00;4 500,00 €
3275;204;S15: ManagingPollution;DREAL;01/07/1968 18:30;04/07/1968 18:30;5 000,00 €
3276;204;S14: SecureBuilding;Ville Blois;04/07/1968 19:00;05/07/1968 19:00;3 000,00 €
3277;204;S16: MonitoringHealth;ARS;05/07/1968 19:30;06/07/1968 03:30;10 000,00 €
3278;204;S18: CleaningRepairing;ARS;06/07/1968 04:00;09/07/1968 04:00;3 000,00 €
3279;204;S17: RecoveringNetworks;AGGLOPOLYS;09/07/1968 04:30;09/07/1968 10:30;1 000,00 €
3280;204;S19 : AdminsitrativeSupport;Mayor;09/07/1968 11:00;12/07/1968 05:40;1 200,00 €
3281;205;S2: Notify mayors;Prefect;12/07/1968 06:10;12/07/1968 07:10;10,00 €
3282;205;S1: Second Roll Call;Prefect;12/07/1968 07:40;12/07/1968 08:10;10,00 €
3283;205;S3: Alert population;Mayor;12/07/1968 08:40;12/07/1968 11:40;50,00 €
3284;205;S5: Stop Traffic;DDT 41;12/07/1968 12:10;12/07/1968 18:10;6 000,00 €
3285;205;S6: Detour setting;DDT 41;12/07/1968 18:40;12/07/1968 21:40;4 000,00 €
3286;205;S7: Put population in a safe place;SDIS 41;12/07/1968 22:10;13/07/1968 22:10;10 000,00 €
3287;205;S9: Ad-Hoc Accomodation;Mayor;13/07/1968 22:40;14/07/1968 02:40;3 000,00 €
3288;205;S4: White Plan;Prefect;14/07/1968 03:10;16/07/1968 03:10;2 000,00 €
3289;205;S12: Food Resupplying;Mayor;16/07/1968 03:40;19/07/1968 03:40;5 000,00 €
3290;205;S13: Psychological care;CUMP Blois;19/07/1968 04:10;23/07/1968 04:10;4 500,00 €
3291;205;S14: SecureBuilding;Ville Blois;23/07/1968 04:40;24/07/1968 04:40;3 000,00 €
3292;205;S15: ManagingPollution;DREAL;24/07/1968 05:10;27/07/1968 05:10;5 000,00 €
3293;205;S16: MonitoringHealth;ARS;27/07/1968 05:40;27/07/1968 13:40;10 000,00 €
3294;205;S17: RecoveringNetworks;AGGLOPOLYS;27/07/1968 14:10;27/07/1968 20:10;1 000,00 €
3295;205;S18: CleaningRepairing;ARS;27/07/1968 20:40;30/07/1968 20:40;3 000,00 €
3296;205;S19 : AdminsitrativeSupport;Mayor;30/07/1968 21:10;02/08/1968 15:50;1 200,00 €
3297;206;S2: Notify mayors;Prefect;02/08/1968 16:20;02/08/1968 17:20;10,00 €
3298;206;S3: Alert population;Mayor;02/08/1968 17:50;02/08/1968 20:50;50,00 €
3299;206;S1: Second Roll Call;Prefect;02/08/1968 21:20;02/08/1968 21:50;10,00 €
3300;206;S5: Stop Traffic;DDT 41;02/08/1968 22:20;03/08/1968 04:20;6 000,00 €
3301;206;S6: Detour setting;DDT 41;03/08/1968 04:50;03/08/1968 07:50;4 000,00 €
3302;206;S7: Put population in a safe place;SDIS 41;03/08/1968 08:20;04/08/1968 08:20;10 000,00 €
3303;206;S11: NOVI Plan;Prefect;04/08/1968 08:50;08/08/1968 08:50;3 000,00 €
3304;206;S8: Accomadation Plan ;Prefect;08/08/1968 09:20;10/08/1968 11:20;2 500,00 €
3305;206;S12: Food Resupplying;Mayor;10/08/1968 11:50;13/08/1968 11:50;5 000,00 €
3306;206;S13: Psychological care;CUMP Blois;13/08/1968 12:20;17/08/1968 12:20;4 500,00 €
3307;206;S14: SecureBuilding;Ville Blois;17/08/1968 12:50;18/08/1968 12:50;3 000,00 €
3308;206;S15: ManagingPollution;DREAL;18/08/1968 13:20;21/08/1968 13:20;5 000,00 €
3309;206;S16: MonitoringHealth;ARS;21/08/1968 13:50;21/08/1968 21:50;10 000,00 €
3310;206;S17: RecoveringNetworks;AGGLOPOLYS;21/08/1968 22:20;22/08/1968 04:20;1 000,00 €
3311;206;S18: CleaningRepairing;ARS;22/08/1968 04:50;25/08/1968 04:50;3 000,00 €
3312;206;S19 : AdminsitrativeSupport;Mayor;25/08/1968 05:20;28/08/1968 00:00;1 200,00 €
3313;207;S2: Notify mayors;Prefect;28/08/1968 00:30;28/08/1968 01:30;10,00 €
3314;207;S3: Alert population;Mayor;28/08/1968 02:00;28/08/1968 05:00;50,00 €
3315;207;S1: Second Roll Call;Prefect;28/08/1968 05:30;28/08/1968 06:00;10,00 €
3316;207;S5: Stop Traffic;DDT 41;28/08/1968 06:30;28/08/1968 12:30;6 000,00 €
3317;207;S6: Detour setting;DDT 41;28/08/1968 13:00;28/08/1968 16:00;4 000,00 €
3318;207;S7: Put population in a safe place;SDIS 41;28/08/1968 16:30;29/08/1968 16:30;10 000,00 €
3319;207;S8: Accomadation Plan ;Prefect;29/08/1968 17:00;31/08/1968 19:00;2 500,00 €
3320;207;S11: NOVI Plan;Prefect;31/08/1968 19:30;04/09/1968 19:30;3 000,00 €
3321;207;S12: Food Resupplying;Mayor;04/09/1968 20:00;07/09/1968 20:00;5 000,00 €
3322;207;S13: Psychological care;CUMP Blois;07/09/1968 20:30;11/09/1968 20:30;4 500,00 €
3323;207;S14: SecureBuilding;Ville Blois;11/09/1968 21:00;12/09/1968 21:00;3 000,00 €
3324;207;S15: ManagingPollution;DREAL;12/09/1968 21:30;15/09/1968 21:30;5 000,00 €
3325;207;S16: MonitoringHealth;ARS;15/09/1968 22:00;16/09/1968 06:00;10 000,00 €
3326;207;S17: RecoveringNetworks;AGGLOPOLYS;16/09/1968 06:30;16/09/1968 12:30;1 000,00 €
3327;207;S18: CleaningRepairing;ARS;16/09/1968 13:00;19/09/1968 13:00;3 000,00 €
3328;207;S19 : AdminsitrativeSupport;Mayor;19/09/1968 13:30;22/09/1968 08:10;1 200,00 €
3329;208;S2: Notify mayors;Prefect;22/09/1968 08:40;22/09/1968 09:40;10,00 €
3330;208;S1: Second Roll Call;Prefect;22/09/1968 10:10;22/09/1968 10:40;10,00 €
3331;208;S3: Alert population;Mayor;22/09/1968 11:10;22/09/1968 14:10;50,00 €
3332;208;S5: Stop Traffic;DDT 41;22/09/1968 14:40;22/09/1968 20:40;6 000,00 €
3333;208;S6: Detour setting;DDT 41;22/09/1968 21:10;23/09/1968 00:10;4 000,00 €
3334;208;S7: Put population in a safe place;SDIS 41;23/09/1968 00:40;24/09/1968 00:40;10 000,00 €
3335;208;S8: Accomadation Plan ;Prefect;24/09/1968 01:10;26/09/1968 03:10;2 500,00 €
3336;208;S10: ad-Hoc taking care;ONG;26/09/1968 03:40;01/10/1968 03:40;2 500,00 €
3337;208;S12: Food Resupplying;Mayor;01/10/1968 04:10;04/10/1968 04:10;5 000,00 €
3338;208;S13: Psychological care;CUMP Blois;04/10/1968 04:40;08/10/1968 04:40;4 500,00 €
3339;208;S15: ManagingPollution;DREAL;08/10/1968 05:10;11/10/1968 05:10;5 000,00 €
3340;208;S14: SecureBuilding;Ville Blois;11/10/1968 05:40;12/10/1968 05:40;3 000,00 €
3341;208;S16: MonitoringHealth;ARS;12/10/1968 06:10;12/10/1968 14:10;10 000,00 €
3342;208;S18: CleaningRepairing;ARS;12/10/1968 14:40;15/10/1968 14:40;3 000,00 €
3343;208;S17: RecoveringNetworks;AGGLOPOLYS;15/10/1968 15:10;15/10/1968 21:10;1 000,00 €
3344;208;S19 : AdminsitrativeSupport;Mayor;15/10/1968 21:40;18/10/1968 16:20;1 200,00 €
3345;209;S2: Notify mayors;Prefect;18/10/1968 16:50;18/10/1968 17:50;10,00 €
3346;209;S3: Alert population;Mayor;18/10/1968 18:20;18/10/1968 21:20;50,00 €
3347;209;S1: Second Roll Call;Prefect;18/10/1968 21:50;18/10/1968 22:20;10,00 €
3348;209;S5: Stop Traffic;DDT 41;18/10/1968 22:50;19/10/1968 04:50;6 000,00 €
3349;209;S6: Detour setting;DDT 41;19/10/1968 05:20;19/10/1968 08:20;4 000,00 €
3350;209;S7: Put population in a safe place;SDIS 41;19/10/1968 08:50;20/10/1968 08:50;10 000,00 €
3351;209;S10: ad-Hoc taking care;ONG;20/10/1968 09:20;25/10/1968 09:20;2 500,00 €
3352;209;S8: Accomadation Plan ;Prefect;25/10/1968 09:50;27/10/1968 11:50;2 500,00 €
3353;209;S12: Food Resupplying;Mayor;27/10/1968 12:20;30/10/1968 12:20;5 000,00 €
3354;209;S13: Psychological care;CUMP Blois;30/10/1968 12:50;03/11/1968 12:50;4 500,00 €
3355;209;S15: ManagingPollution;DREAL;03/11/1968 13:20;06/11/1968 13:20;5 000,00 €
3356;209;S14: SecureBuilding;Ville Blois;06/11/1968 13:50;07/11/1968 13:50;3 000,00 €
3357;209;S16: MonitoringHealth;ARS;07/11/1968 14:20;07/11/1968 22:20;10 000,00 €
3358;209;S18: CleaningRepairing;ARS;07/11/1968 22:50;10/11/1968 22:50;3 000,00 €
3359;209;S17: RecoveringNetworks;AGGLOPOLYS;10/11/1968 23:20;11/11/1968 05:20;1 000,00 €
3360;209;S19 : AdminsitrativeSupport;Mayor;11/11/1968 05:50;14/11/1968 00:30;1 200,00 €
3361;210;S2: Notify mayors;Prefect;14/11/1968 01:00;14/11/1968 02:00;10,00 €
3362;210;S3: Alert population;Mayor;14/11/1968 02:30;14/11/1968 05:30;50,00 €
3363;210;S1: Second Roll Call;Prefect;14/11/1968 06:00;14/11/1968 06:30;10,00 €
3364;210;S5: Stop Traffic;DDT 41;14/11/1968 07:00;14/11/1968 13:00;6 000,00 €
3365;210;S6: Detour setting;DDT 41;14/11/1968 13:30;14/11/1968 16:30;4 000,00 €
3366;210;S7: Put population in a safe place;SDIS 41;14/11/1968 17:00;15/11/1968 17:00;10 000,00 €
3367;210;S11: NOVI Plan;Prefect;15/11/1968 17:30;19/11/1968 17:30;3 000,00 €
3368;210;S9: Ad-Hoc Accomodation;Mayor;19/11/1968 18:00;19/11/1968 22:00;3 000,00 €
3369;210;S12: Food Resupplying;Mayor;19/11/1968 22:30;22/11/1968 22:30;5 000,00 €
3370;210;S13: Psychological care;CUMP Blois;22/11/1968 23:00;26/11/1968 23:00;4 500,00 €
3371;210;S14: SecureBuilding;Ville Blois;26/11/1968 23:30;27/11/1968 23:30;3 000,00 €
3372;210;S15: ManagingPollution;DREAL;28/11/1968 00:00;01/12/1968 00:00;5 000,00 €
3373;210;S16: MonitoringHealth;ARS;01/12/1968 00:30;01/12/1968 08:30;10 000,00 €
3374;210;S17: RecoveringNetworks;AGGLOPOLYS;01/12/1968 09:00;01/12/1968 15:00;1 000,00 €
3375;210;S18: CleaningRepairing;ARS;01/12/1968 15:30;04/12/1968 15:30;3 000,00 €
3376;210;S19 : AdminsitrativeSupport;Mayor;04/12/1968 16:00;07/12/1968 10:40;1 200,00 €
3377;211;S2: Notify mayors;Prefect;07/12/1968 11:10;07/12/1968 12:10;10,00 €
3378;211;S3: Alert population;Mayor;07/12/1968 12:40;07/12/1968 15:40;50,00 €
3379;211;S1: Second Roll Call;Prefect;07/12/1968 16:10;07/12/1968 16:40;10,00 €
3380;211;S5: Stop Traffic;DDT 41;07/12/1968 17:10;07/12/1968 23:10;6 000,00 €
3381;211;S6: Detour setting;DDT 41;07/12/1968 23:40;08/12/1968 02:40;4 000,00 €
3382;211;S7: Put population in a safe place;SDIS 41;08/12/1968 03:10;09/12/1968 03:10;10 000,00 €
3383;211;S10: ad-Hoc taking care;ONG;09/12/1968 03:40;14/12/1968 03:40;2 500,00 €
3384;211;S8: Accomadation Plan ;Prefect;14/12/1968 04:10;16/12/1968 06:10;2 500,00 €
3385;211;S12: Food Resupplying;Mayor;16/12/1968 06:40;19/12/1968 06:40;5 000,00 €
3386;211;S13: Psychological care;CUMP Blois;19/12/1968 07:10;23/12/1968 07:10;4 500,00 €
3387;211;S14: SecureBuilding;Ville Blois;23/12/1968 07:40;24/12/1968 07:40;3 000,00 €
3388;211;S15: ManagingPollution;DREAL;24/12/1968 08:10;27/12/1968 08:10;5 000,00 €
3389;211;S16: MonitoringHealth;ARS;27/12/1968 08:40;27/12/1968 16:40;10 000,00 €
3390;211;S18: CleaningRepairing;ARS;27/12/1968 17:10;30/12/1968 17:10;3 000,00 €
3391;211;S17: RecoveringNetworks;AGGLOPOLYS;30/12/1968 17:40;30/12/1968 23:40;1 000,00 €
3392;211;S19 : AdminsitrativeSupport;Mayor;31/12/1968 00:10;02/01/1969 18:50;1 200,00 €
3393;212;S2: Notify mayors;Prefect;02/01/1969 19:20;02/01/1969 20:20;10,00 €
3394;212;S1: Second Roll Call;Prefect;02/01/1969 20:50;02/01/1969 21:20;10,00 €
3395;212;S3: Alert population;Mayor;02/01/1969 21:50;03/01/1969 00:50;50,00 €
3396;212;S5: Stop Traffic;DDT 41;03/01/1969 01:20;03/01/1969 07:20;6 000,00 €
3397;212;S6: Detour setting;DDT 41;03/01/1969 07:50;03/01/1969 10:50;4 000,00 €
3398;212;S7: Put population in a safe place;SDIS 41;03/01/1969 11:20;04/01/1969 11:20;10 000,00 €
3399;212;S11: NOVI Plan;Prefect;04/01/1969 11:50;08/01/1969 11:50;3 000,00 €
3400;212;S9: Ad-Hoc Accomodation;Mayor;08/01/1969 12:20;08/01/1969 16:20;3 000,00 €
3401;212;S12: Food Resupplying;Mayor;08/01/1969 16:50;11/01/1969 16:50;5 000,00 €
3402;212;S13: Psychological care;CUMP Blois;11/01/1969 17:20;15/01/1969 17:20;4 500,00 €
3403;212;S14: SecureBuilding;Ville Blois;15/01/1969 17:50;16/01/1969 17:50;3 000,00 €
3404;212;S15: ManagingPollution;DREAL;16/01/1969 18:20;19/01/1969 18:20;5 000,00 €
3405;212;S16: MonitoringHealth;ARS;19/01/1969 18:50;20/01/1969 02:50;10 000,00 €
3406;212;S17: RecoveringNetworks;AGGLOPOLYS;20/01/1969 03:20;20/01/1969 09:20;1 000,00 €
3407;212;S18: CleaningRepairing;ARS;20/01/1969 09:50;23/01/1969 09:50;3 000,00 €
3408;212;S19 : AdminsitrativeSupport;Mayor;23/01/1969 10:20;26/01/1969 05:00;1 200,00 €
3409;213;S2: Notify mayors;Prefect;26/01/1969 05:30;26/01/1969 06:30;10,00 €
3410;213;S3: Alert population;Mayor;26/01/1969 07:00;26/01/1969 10:00;50,00 €
3411;213;S1: Second Roll Call;Prefect;26/01/1969 10:30;26/01/1969 11:00;10,00 €
3412;213;S5: Stop Traffic;DDT 41;26/01/1969 11:30;26/01/1969 17:30;6 000,00 €
3413;213;S6: Detour setting;DDT 41;26/01/1969 18:00;26/01/1969 21:00;4 000,00 €
3414;213;S7: Put population in a safe place;SDIS 41;26/01/1969 21:30;27/01/1969 21:30;10 000,00 €
3415;213;S11: NOVI Plan;Prefect;27/01/1969 22:00;31/01/1969 22:00;3 000,00 €
3416;213;S8: Accomadation Plan ;Prefect;31/01/1969 22:30;03/02/1969 00:30;2 500,00 €
3417;213;S12: Food Resupplying;Mayor;03/02/1969 01:00;06/02/1969 01:00;5 000,00 €
3418;213;S13: Psychological care;CUMP Blois;06/02/1969 01:30;10/02/1969 01:30;4 500,00 €
3419;213;S14: SecureBuilding;Ville Blois;10/02/1969 02:00;11/02/1969 02:00;3 000,00 €
3420;213;S15: ManagingPollution;DREAL;11/02/1969 02:30;14/02/1969 02:30;5 000,00 €
3421;213;S16: MonitoringHealth;ARS;14/02/1969 03:00;14/02/1969 11:00;10 000,00 €
3422;213;S17: RecoveringNetworks;AGGLOPOLYS;14/02/1969 11:30;14/02/1969 17:30;1 000,00 €
3423;213;S18: CleaningRepairing;ARS;14/02/1969 18:00;17/02/1969 18:00;3 000,00 €
3424;213;S19 : AdminsitrativeSupport;Mayor;17/02/1969 18:30;20/02/1969 13:10;1 200,00 €
3425;214;S2: Notify mayors;Prefect;20/02/1969 13:40;20/02/1969 14:40;10,00 €
3426;214;S3: Alert population;Mayor;20/02/1969 15:10;20/02/1969 18:10;50,00 €
3427;214;S1: Second Roll Call;Prefect;20/02/1969 18:40;20/02/1969 19:10;10,00 €
3428;214;S5: Stop Traffic;DDT 41;20/02/1969 19:40;21/02/1969 01:40;6 000,00 €
3429;214;S6: Detour setting;DDT 41;21/02/1969 02:10;21/02/1969 05:10;4 000,00 €
3430;214;S7: Put population in a safe place;SDIS 41;21/02/1969 05:40;22/02/1969 05:40;10 000,00 €
3431;214;S4: White Plan;Prefect;22/02/1969 06:10;24/02/1969 06:10;2 000,00 €
3432;214;S8: Accomadation Plan ;Prefect;24/02/1969 06:40;26/02/1969 08:40;2 500,00 €
3433;214;S12: Food Resupplying;Mayor;26/02/1969 09:10;01/03/1969 09:10;5 000,00 €
3434;214;S13: Psychological care;CUMP Blois;01/03/1969 09:40;05/03/1969 09:40;4 500,00 €
3435;214;S15: ManagingPollution;DREAL;05/03/1969 10:10;08/03/1969 10:10;5 000,00 €
3436;214;S14: SecureBuilding;Ville Blois;08/03/1969 10:40;09/03/1969 10:40;3 000,00 €
3437;214;S16: MonitoringHealth;ARS;09/03/1969 11:10;09/03/1969 19:10;10 000,00 €
3438;214;S18: CleaningRepairing;ARS;09/03/1969 19:40;12/03/1969 19:40;3 000,00 €
3439;214;S17: RecoveringNetworks;AGGLOPOLYS;12/03/1969 20:10;13/03/1969 02:10;1 000,00 €
3440;214;S19 : AdminsitrativeSupport;Mayor;13/03/1969 02:40;15/03/1969 21:20;1 200,00 €
3441;215;S2: Notify mayors;Prefect;15/03/1969 21:50;15/03/1969 22:50;10,00 €
3442;215;S1: Second Roll Call;Prefect;15/03/1969 23:20;15/03/1969 23:50;10,00 €
3443;215;S3: Alert population;Mayor;16/03/1969 00:20;16/03/1969 03:20;50,00 €
3444;215;S5: Stop Traffic;DDT 41;16/03/1969 03:50;16/03/1969 09:50;6 000,00 €
3445;215;S6: Detour setting;DDT 41;16/03/1969 10:20;16/03/1969 13:20;4 000,00 €
3446;215;S7: Put population in a safe place;SDIS 41;16/03/1969 13:50;17/03/1969 13:50;10 000,00 €
3447;215;S9: Ad-Hoc Accomodation;Mayor;17/03/1969 14:20;17/03/1969 18:20;3 000,00 €
3448;215;S10: ad-Hoc taking care;Volunteer;17/03/1969 18:50;22/03/1969 18:50;2 500,00 €
3449;215;S12: Food Resupplying;Mayor;22/03/1969 19:20;25/03/1969 19:20;5 000,00 €
3450;215;S13: Psychological care;CUMP Blois;25/03/1969 19:50;29/03/1969 19:50;4 500,00 €
